Name,Family,Where Found,Harmful to Humans
Escherichia coli,Enterobacteriaceae,Intestinal tract,Yes
Staphylococcus aureus,Staphylococcaceae,"Skin, nasal passages",Yes
Lactobacillus acidophilus,Lactobacillaceae,Human mouth & intestine,No
Bacillus subtilis,Bacillaceae,Soil,No
Clostridium botulinum,Clostridiaceae,"Soil, improperly canned foods",Yes
Streptococcus pneumoniae,Streptococcaceae,"Throat, nasal passages",Yes
Pseudomonas aeruginosa,Pseudomonadaceae,"Soil, water, skin flora",Yes
Mycobacterium tuberculosis,Mycobacteriaceae,Lungs,Yes
Vibrio cholerae,Vibrionaceae,Contaminated water,Yes
Salmonella enterica,Enterobacteriaceae,Intestinal tract,Yes
Helicobacter pylori,Helicobacteraceae,Stomach lining,Yes
Neisseria gonorrhoeae,Neisseriaceae,Genitourinary tract,Yes
Lactococcus lactis,Streptococcaceae,"Milk, plants",No
Bacteroides fragilis,Bacteroidaceae,Gastrointestinal tract,No
Campylobacter jejuni,Campylobacteraceae,Intestinal tract,Yes
Listeria monocytogenes,Listeriaceae,"Soil, water",Yes
Acetobacter aceti,Acetobacteraceae,"Fruits, vinegar",No
Streptococcus mutans,Streptococcaceae,Human mouth,Yes
Propionibacterium acnes,Propionibacteriaceae,Skin,No
Bifidobacterium bifidum,Bifidobacteriaceae,Intestinal tract,No
Clostridium difficile,Clostridiaceae,Intestinal tract,Yes
Legionella pneumophila,Legionellaceae,Water systems,Yes
Borrelia burgdorferi,Spirochaetaceae,Tick-infested areas,Yes
Treponema pallidum,Spirochaetaceae,Human body,Yes
Chlamydia trachomatis,Chlamydiaceae,Human genitourinary tract,Yes
Mycoplasma pneumoniae,Mycoplasmataceae,Respiratory tract,Yes
Streptococcus pyogenes,Streptococcaceae,"Throat, skin",Yes
Haemophilus influenzae,Pasteurellaceae,Respiratory tract,Yes
Leptospira interrogans,Leptospiraceae,Water contaminated by animal urine,Yes
Streptococcus agalactiae,Streptococcaceae,Intestinal and genitourinary tracts,Yes
Shigella dysenteriae,Enterobacteriaceae,Intestinal tract,Yes
Enterococcus faecalis,Enterococcaceae,Human gut,No
Corynebacterium diphtheriae,Corynebacteriaceae,Throat,Yes
Klebsiella pneumoniae,Enterobacteriaceae,"Mouth, skin, intestines",Yes
Rickettsia rickettsii,Rickettsiaceae,Tick-infested areas,Yes
Serratia marcescens,Enterobacteriaceae,"Soil, water, intestines",No
Proteus mirabilis,Enterobacteriaceae,Intestinal tract,No
Gardnerella vaginalis,Bifidobacteriaceae,Genitourinary tract,Yes
Francisella tularensis,Francisellaceae,"Infected animals, water",Yes
Yersinia pestis,Enterobacteriaceae,Infected fleas,Yes
Clostridium perfringens,Clostridiaceae,"Soil, intestines",Yes
Staphylococcus epidermidis,Staphylococcaceae,Skin,No
Actinomyces israelii,Actinomycetaceae,"Mouth, throat",No
Fusobacterium nucleatum,Fusobacteriaceae,"Mouth, throat",No
Brucella abortus,Brucellaceae,Infected animals,Yes
